keys,en,mi,es,de,ru,ja,ar,hi
Deafult audio output - patching to this will send your audio to the void,Deafult audio output - patching to this will send your audio to the void,Deafult audio output - patching to this will send your audio to the void,Deafult audio output - patching to this will send your audio to the void,Deafult audio output - patching to this will send your audio to the void,Deafult audio output - patching to this will send your audio to the void,Deafult audio output - patching to this will send your audio to the void,Deafult audio output - patching to this will send your audio to the void,Deafult audio output - patching to this will send your audio to the void
Declick ramp,Declick ramp,Declick ramp,Declick ramp,Declick ramp,Declick ramp,Declick ramp,Declick ramp,Declick ramp
Decode / present,Decode / present,Decode / present,Decode / present,Decode / present,Decode / present,Decode / present,Decode / present,Decode / present
"Default audio output for new audio components.
Preferred uses Default Patch (or the first patch).
Routing matrix still builds when a file is assigned.","Default audio output for new audio components.
Preferred uses Default Patch (or the first patch).
Routing matrix still builds when a file is assigned.","Default audio output for new audio components.
Preferred uses Default Patch (or the first patch).
Routing matrix still builds when a file is assigned.","Default audio output for new audio components.
Preferred uses Default Patch (or the first patch).
Routing matrix still builds when a file is assigned.","Default audio output for new audio components.
Preferred uses Default Patch (or the first patch).
Routing matrix still builds when a file is assigned.","Default audio output for new audio components.
Preferred uses Default Patch (or the first patch).
Routing matrix still builds when a file is assigned.","Default audio output for new audio components.
Preferred uses Default Patch (or the first patch).
Routing matrix still builds when a file is assigned.","Default audio output for new audio components.
Preferred uses Default Patch (or the first patch).
Routing matrix still builds when a file is assigned.","Default audio output for new audio components.
Preferred uses Default Patch (or the first patch).
Routing matrix still builds when a file is assigned."
Default background panel colour.,Default background panel colour.,Default background panel colour.,Default background panel colour.,Default background panel colour.,Default background panel colour.,Default background panel colour.,Default background panel colour.,Default background panel colour.
Default delay between trigger and component start for new cues.,Default delay between trigger and component start for new cues.,Default delay between trigger and component start for new cues.,Default delay between trigger and component start for new cues.,Default delay between trigger and component start for new cues.,Default delay between trigger and component start for new cues.,Default delay between trigger and component start for new cues.,Default delay between trigger and component start for new cues.,Default delay between trigger and component start for new cues.
Default duration for still-image components only (not video). 0 or 'Until stopped' = hold until stop.,Default duration for still-image components only (not video). 0 or 'Until stopped' = hold until stop.,Default duration for still-image components only (not video). 0 or 'Until stopped' = hold until stop.,Default duration for still-image components only (not video). 0 or 'Until stopped' = hold until stop.,Default duration for still-image components only (not video). 0 or 'Until stopped' = hold until stop.,Default duration for still-image components only (not video). 0 or 'Until stopped' = hold until stop.,Default duration for still-image components only (not video). 0 or 'Until stopped' = hold until stop.,Default duration for still-image components only (not video). 0 or 'Until stopped' = hold until stop.,Default duration for still-image components only (not video). 0 or 'Until stopped' = hold until stop.
Default embedded audio volume (dB).,Default embedded audio volume (dB).,Default embedded audio volume (dB).,Default embedded audio volume (dB).,Default embedded audio volume (dB).,Default embedded audio volume (dB).,Default embedded audio volume (dB).,Default embedded audio volume (dB).,Default embedded audio volume (dB).
"Default embedded-audio output for new video components.
Preferred uses Default Patch (or the first patch).","Default embedded-audio output for new video components.
Preferred uses Default Patch (or the first patch).","Default embedded-audio output for new video components.
Preferred uses Default Patch (or the first patch).","Default embedded-audio output for new video components.
Preferred uses Default Patch (or the first patch).","Default embedded-audio output for new video components.
Preferred uses Default Patch (or the first patch).","Default embedded-audio output for new video components.
Preferred uses Default Patch (or the first patch).","Default embedded-audio output for new video components.
Preferred uses Default Patch (or the first patch).","Default embedded-audio output for new video components.
Preferred uses Default Patch (or the first patch).","Default embedded-audio output for new video components.
Preferred uses Default Patch (or the first patch)."
Default fade-in duration (0 = immediate).,Default fade-in duration (0 = immediate).,Default fade-in duration (0 = immediate).,Default fade-in duration (0 = immediate).,Default fade-in duration (0 = immediate).,Default fade-in duration (0 = immediate).,Default fade-in duration (0 = immediate).,Default fade-in duration (0 = immediate).,Default fade-in duration (0 = immediate).
Default fade-in duration for new audio components (0 = immediate).,Default fade-in duration for new audio components (0 = immediate).,Default fade-in duration for new audio components (0 = immediate).,Default fade-in duration for new audio components (0 = immediate).,Default fade-in duration for new audio components (0 = immediate).,Default fade-in duration for new audio components (0 = immediate).,Default fade-in duration for new audio components (0 = immediate).,Default fade-in duration for new audio components (0 = immediate).,Default fade-in duration for new audio components (0 = immediate).
Default fade-out duration (0 = immediate / session stop fade).,Default fade-out duration (0 = immediate / session stop fade).,Default fade-out duration (0 = immediate / session stop fade).,Default fade-out duration (0 = immediate / session stop fade).,Default fade-out duration (0 = immediate / session stop fade).,Default fade-out duration (0 = immediate / session stop fade).,Default fade-out duration (0 = immediate / session stop fade).,Default fade-out duration (0 = immediate / session stop fade).,Default fade-out duration (0 = immediate / session stop fade).
Default fade-out duration for new audio components (0 = immediate / session stop fade).,Default fade-out duration for new audio components (0 = immediate / session stop fade).,Default fade-out duration for new audio components (0 = immediate / session stop fade).,Default fade-out duration for new audio components (0 = immediate / session stop fade).,Default fade-out duration for new audio components (0 = immediate / session stop fade).,Default fade-out duration for new audio components (0 = immediate / session stop fade).,Default fade-out duration for new audio components (0 = immediate / session stop fade).,Default fade-out duration for new audio components (0 = immediate / session stop fade).,Default fade-out duration for new audio components (0 = immediate / session stop fade).
Default font colour.,Default font colour.,Default font colour.,Default font colour.,Default font colour.,Default font colour.,Default font colour.,Default font colour.,Default font colour.
Default font size in pixels.,Default font size in pixels.,Default font size in pixels.,Default font size in pixels.,Default font size in pixels.,Default font size in pixels.,Default font size in pixels.,Default font size in pixels.,Default font size in pixels.
"Default for new cues. When on, GO hard-stops any existing instance of that cue before starting another. When off (default), multiple concurrent instances are allowed.","Default for new cues. When on, GO hard-stops any existing instance of that cue before starting another. When off (default), multiple concurrent instances are allowed.","Default for new cues. When on, GO hard-stops any existing instance of that cue before starting another. When off (default), multiple concurrent instances are allowed.","Default for new cues. When on, GO hard-stops any existing instance of that cue before starting another. When off (default), multiple concurrent instances are allowed.","Default for new cues. When on, GO hard-stops any existing instance of that cue before starting another. When off (default), multiple concurrent instances are allowed.","Default for new cues. When on, GO hard-stops any existing instance of that cue before starting another. When off (default), multiple concurrent instances are allowed.","Default for new cues. When on, GO hard-stops any existing instance of that cue before starting another. When off (default), multiple concurrent instances are allowed.","Default for new cues. When on, GO hard-stops any existing instance of that cue before starting another. When off (default), multiple concurrent instances are allowed.","Default for new cues. When on, GO hard-stops any existing instance of that cue before starting another. When off (default), multiple concurrent instances are allowed."
